
n       HLT Path Name   Index 0 Emergency       Index 1 2.2e34  Index 2 2.0e34  Index 3 1.6e34  Index 4 1.4e34  Index 5 1.2e34  Index 6 1.0e34  Index 7 8.0e33  Index 8 5.0e33  Index 9 1.0e34 backup   Index 10 900b   Index 11 1.6e34 + ZeroBias      
111     HLT_CaloMET80_NotCleaned_v4 (2110236)                           0       128     128     128     128     128     128     128     128     128     128     128     
112     HLT_CaloMET90_HBHECleaned_v4 (2110243)                          0       128     128     128     128     128     128     128     128     128     128     128     
113     HLT_CaloMET90_NotCleaned_v4 (2110237)                           0       128     128     128     128     128     128     128     128     128     128     128     
114     HLT_CaloMHT90_v4 (2110235)                                      0       128     128     128     128     128     128     128     128     128     128     128     
115     HLT_DiEle27_WPTightCaloOnly_L1DoubleEG_v4 (2110062)             0       1       1       1       1       1       1       1       1       1       1       1      
116     HLT_DiJet110_35_Mjj650_PFMET110_v9 (2110381)                    0       1       1       1       1       1       1       1       1       1       1       1      
117     HLT_DiJet110_35_Mjj650_PFMET120_v9 (2110382)                    0       1       1       1       1       1       1       1       1       1       1       1      
118     HLT_DiJet110_35_Mjj650_PFMET130_v9 (2110383)                    0       1       1       1       1       1       1       1       1       1       1       1      
119     HLT_DiMu4_Ele9_CaloIdL_TrackIdL_DZ_Mass3p8_v16 (2110425)        0       1       1       1       1       1       1       1       1       1       1       1      
120     HLT_DiMu9_Ele9_CaloIdL_TrackIdL_DZ_v17 (2110426)                0       1       1       1       1       1       1       1       1       1       1       1       
121     HLT_DiMu9_Ele9_CaloIdL_TrackIdL_v17 (2110427)                   0       2       2       2       2       2       2       2       2       2       2       2       
122     HLT_DiPFJetAve100_HFJEC_v15 (2110140)                           0       1       1       1       1       1       1       1       1       1       1       1       
123     HLT_DiPFJetAve140_v13 (2110130)                                 0       1       1       1       1       1       1       1       1       1       1       1       
124     HLT_DiPFJetAve15_HFJEC_v17 (2110136)                            0       0       0       0       0       0       0       0       0       0       0       0       
125     HLT_DiPFJetAve160_HFJEC_v15 (2110141)                           0       1       1       1       1       1       1       1       1       1       1       1       
126     HLT_DiPFJetAve200_v13 (2110131)                                 0       1       1       1       1       1       1       1       1       1       1       1       
127     HLT_DiPFJetAve220_HFJEC_v16 (2110142)                           0       8       8       6       6       4       4       2       2       4       4       6       
128     HLT_DiPFJetAve25_HFJEC_v17 (2110137)                            0       0       0       0       0       0       0       0       0       0       0       0       
129     HLT_DiPFJetAve260_v14 (2110132)                                 0       128     128     96      96      64      64      32      32      64      64      96      
130     HLT_DiPFJetAve300_HFJEC_v16 (2110143)                           0       1       1       1       1       1       1       1       1       1       1       1       
131     HLT_DiPFJetAve320_v14 (2110133)                                 0       48      48      36      36      24      24      12      12      24      24      36      
132     HLT_DiPFJetAve400_v14 (2110134)                                 0       16      16      12      12      8       8       4       4       8       8       12      
133     HLT_DiPFJetAve40_v14 (2110127)                                  0       25      25      16      16      12      12      8       8       12      12      16      
134     HLT_DiPFJetAve500_v14 (2110135)                                 0       4       4       3       3       2       2       1       1       2       2       3       
